"Good morning","Bom dia"
"Good afternoon","Boa tarde"
"Good evening","Boa noite"
"*Welcome* to the automatic attendance of *%s*!","*Bem-Vindo* ao atendimento automático da loja *%s*!"
"Please enter one of the options below:","Por favor digite uma das opções abaixo:"
"Please enter the category code to continue:","Por favor digite o código de uma categoria para continuar:"
"Please enter the product code to insert into the cart:","Por favor digite o código do produto para inserir no carrinho:"
"Here is the list of our categories:","Segue a lista de nossas categorias:"
"Here is the list of our products for category *%s*:","Segue a lista de nossos produtos para a categoria *%s*:"
"Product successfully added to your cart!","Produto adicionado ao carrinho com sucesso!"
"It was not possible to add the product to the cart!","Não foi possível adicionar o produto no carrinho!"
"Please enter another product code, or enter *ok* to continue:","Por favor digite outro código de produto, ou digite *ok* para continuar:"
"Please enter the *street*, the *number* and the *district* where you live:","Por favor, digite a *rua*, o *número* e o *bairro* aonde você mora:"
"Example: Address Flowers 123 Zilda Village","Exemplo: Rua Flores 123 Vila Zilda"
"Please enter the code of the delivery method:","Por favor digite o código da forma de entrega:"
"No delivery method was found for your address!","Nenhuma forma de entrega foi encontrada para o seu endereço!"
"Please enter the code of the payment method:","Por favor digite o código da forma de pagamento:"
"No payment method was found for your address!","Nenhuma forma de pagamento foi encontrada para o seu endereço!"
"Please enter *ok* to confirm your order:","Por favor digite *ok* para confirmar o seu pedido:"
"Your order number is *%s*","O número do seu pedido é *%s*"
"Thank you for shopping at store *%s*!","Obrigado por comprar na loja *%s*!"
"Developed by Toluca Store | app.toluca.com.br","Desenvolvido por Toluca Store | app.toluca.com.br"
"Is Muted","Mudo"
"Is Notified","Notificado"
"This is your shopping cart:","Este é o seu carrinho de compras:"
"Shipping Address: %s","Endereço de Entrega: %s"
"Unfortunately we are not available at the moment.","Infelizmente não estamos disponíveis no momento."
"This is our opening hours:","Este é o nosso horário de funcionamento:"
"Buy also through the *Toluca Store* app at app.toluca.com.br","Compre também pelo app *Toluca Store* em app.toluca.com.br"
"All right","Tudo bem"
"Or type *%s* to list the categories again:","Ou digite *%s* para listar as categorias novamente:"
"Firstname","Nome"
"Lastname","Sobrenome"
"Or at any time enter *%s* to call the attendant.","Ou a qualquer momento digite *%s* para chamar o atendente."
"Please wait. Soon an attendant will answer you ...","Por favor, aguarde. Em breve um(a) atendente irá respondê-lo(a) ..."
"Would you like to choose any option for this product?","Gostaria de escolher alguma opção para este produto?"
"Please enter the product option code:","Por favor digite o código da opção do produto:"
"Or type *%s* to continue:","Ou digite *%s* para continuar:"
"Or type *%s* to go to cart:","Ou digite *%s* para ir para o carrinho:"
"Or type *%s* to clean your shopping cart:","Ou digite *%s* para limpar o seu carrinho:"
"Option","Opção"
"Please enter the values codes to option: *%s*","Por favor digite os códigos do valores para a opção: *%s*"
"Example: 1 5 10 15","Exemplo: 1 5 10 15"
"Please enter only one value code to option: *%s*","Por favor digite somente um código do valor para a opção: *%s*"
"Example: 1","Exemplo: 1"
"Would you like to add any notes for this product?","Gostaria de adicionar alguma observação para este produto?"
"Please enter any notes:","Por favor, digite alguma observação:"
"%s %s %s has doubts on zap.","%s %s %s está com dúvidas no zap."
"Copy the address to make the payment via %s:","Copie o endereço para efetuar o pagamento via %s:"
"Click on the link to make the payment via PicPay:","Clique no link para efetuar o pagamento via PicPay:"
"Click on the link to make the payment via OpenPix:","Clique no link para efetuar o pagamento via OpenPix:"
"required","obrigatório"
"Please enter the amount of the money change for your order:","Por favor digite o valor do troco para o seu pedido:"
"Example: 50","Exemplo: 50"
"Need change for money: %s","Precisa de troco: %s"
"Change to amount: %s","Troco para quanto: %s"
"Please choose the type of card:","Por favor escolha o tipo de cartão:"
"Please choose the type of cripto:","Por favor escolha o tipo de cripto:"
"Type of card: %s","Tipo de cartão: %s"
"Type of cripto: %s","Tipo de cripto: %s"
"Manage Chats","Gerenciar Chats"
"Chats Manager","Gerenciador de Chats"
"Remove Items","Remover Itens"
"Chat items were successfully removed.","Items do chat removidos com sucesso."
"Bundle","Pacote"
"Selection","Seleção"
"Payment Cash","Pagamento com Dinheiro"
"Payment Machine","Pagamento com Maquininha"
"Payment Cripto","Pagamento com Cripto"
"Gamuza Bot Section","Seção do Gamuza Bot"
"Basic Auth","Autenticação Básica"
"Username","Nome de Usuário"
"Here are the payment instructions:","Aqui estão as instruções de pagamento:"
"Phone","Fone"
"History","Histórico"
"History Manager","Gerenciador de Histórico"
"Chat ID","ID Chat"
"Question","Pergunta"
"Answer","Resposta"
"This chat no longer exists.","Este chat não existe."
"This chat has no history.","Este chat não tem histórico."
"Manage Contacts","Gerenciar Contatos"
"Contacts Manager","Gerenciador de Contatos"
"Is Me","Sou Eu"
"My Contact","Meu Contato"
"WA Contact","Contato WA"
"Manage Promotions","Gerenciar Promoções"
"Promotions Manager","Gerenciador de Promoções"
"Filename","Nome do Arquivo"
"Add New Promotion","Adicionar Nova Promoção"
"Promotion Information","Informações da Promoção"
"Save Promotion","Salvar Promoção"
"Promotion was successfully saved.","Promoção salva com sucesso."
"Edit Promotion '%s'","Editar Promoção '%s'"
"Promotion does not exist.","Promoção não existe."
"Delete Promotion","Excluir Promoção"
"Promotion was successfully deleted.","Promoção foi excluída com sucesso."
"Only JPG, JPEG, PNG and PDF fiels are supported.","Somente arquivos JPG, JPEG, PNG e PDF são suportados."
"Maximum of 255 characters.","Máximo de 255 caracteres."
"Manage Queue","Gerenciar Fila"
"Queue Manager","Gerenciador de Fila"
"Promotion ID","ID Promoção"
"Contacts Total","Contatos Total"
"Contacts Sent","Contatos Enviado"
"Started At","Iniciado Em"
"Finished At","Finalizado Em"
"Finished","Finalizado"
"Stopped","Parado"
"Promotion","Promoção"
"Send Promotion","Enviar Promoção"
"Confirm sending the promotion to the queue?","Confirma o envio da promoção para a fila?"
"There are pending, sending or stopped promotions in the queue.","Existem promoções pendentes, enviando ou paradas na fila."
"Promotion was successfully sent to the queue.","Promoção foi enviada para a fila com sucesso."
"Invalid queue status: %s","Status da fila inválido: %s"
"Invalid queue status: %s for %s","Status da fila inválido: %s para %s"

