"Category ID","ID da Categoria"
"Category Name","Nome da Categoria"
"Root Category ID","ID da Categoria Principal"
"Root category ID %s was not found!","Categoria Raiz ID %s não foi encontrada!"
"Empty categories information!","Sem Informações de Categorias"
"Empty category information!","Sem Informações de Categoria"
"MercadoLivre is not enabled.","MercadoLivre não está habilitado."
"MercadoLivre Information","Informações do MercadoLivre"
"Is MercadoLivre","É MercadoLivre"
"Manage Products","Gerenciar Produtos"
"Products Manager","Gerenciador de Produtos"
"External ID","ID Externo"
"Seller ID","ID do Seller"
"Application ID","ID do Aplicativo"
"Pending Products","Produtos Pendentes"
"Remove Products","Remover Produtos"
"Queue","Fila"
"30 items","30 itens"
"60 items","60 itens"
"90 items","90 itens"
"120 items","120 itens"
"150 items","150 itens"
"180 items","180 itens"
"210 items","210 itens"
"240 items","240 itens"
"270 items","270 itens"
"300 items","300 itens"
"Shipping Mode","Modo de Envio"
"Not Specified","Não Especificado"
"MercadoEnvios mode 1","MercadoEnvios modo 1"
"MercadoEnvios mode 2 (label & tracking)","MercadoEnvios modo 2 (etiqueta + rastreio)"
"Local Pick Up","Retirar Pessoalmente"
"Manage Questions","Gerenciar Perguntas"
"Questions Manager","Gerenciador de Perguntas"
"Question ID","ID da Pergunta"
"Question Text","Texto da Pergunta"
"Question Status","Status da Pergunta"
"Question Answer","Resposta da Pergunta"
"Answer Question","Responder Pergunta"
"Remove Question","Remover Pergunta"
"Answer","Resposta"
"Answered","Respondido"
"Banned","Banido"
"Closed / Unanswered","Fechado / Não Respondido"
"Deleted","Deletado"
"Unanswered","Não Respondido"
"Under Review","Em Análise"
"Questions were successfully removed.","As perguntas foram removidas com sucesso."
"Listing Type","Tipo de Listagem"
"MercadoLivre Account","Conta do MercadoLivre"
"I accept the terms","Eu aceito os termos"
"Terms of the agreement","Termos do Acordo"
"Authorize","Autorizar"
"Your MercadoLivre account has been authorized.","Sua conta do MercadoLivre foi autorizada com sucesso."
"Invalid MercadoLivre account confirmation code.","O código de confirmação é inválido para a conta do MercadoLivre."
"MercadoLivre User ID","ID do Usuário MercadoLivre"
"MercadoLivre User Info","Info do Usuário MercadoLivre"
"App ID","ID do Aplicativo"
"Secret Key","Chave Secreta"
"Synced At","Sincronizado Em"
"Your store needs to be online!","Sua loja precisa estar online!"
"MercadoLivre categories were not found.","Categorias do MercadoLivre não foram encontradas."
"Free","Grátis"
"Gold Special ( Classic )","Gold Special ( Clássico )"
"Redirect URI:","URI de Redirect:"
"Notification URI:","URI de Notificação:"

