"Payment via OpenPix - Gamuza Technologies","Pagamento via OpenPix - Gamuza Technologies"
"Manage Transactions","Gerenciar Transações"
"Transactions Manager","Gerenciador de Transações"
"Order Inc. ID","ID Inc. Pedido"
"Correlation ID","ID Correlação"
"Expires In","Expira Em"
"Payment Link ID","ID Link Pagamento"
"Payment Link URL","URL Link Pagamento"
"QRCode Image URL","URL Imagem QRCode"
"BRCode URL","URL BRCode"
"Completed","Completo"
"There was an error in the OPENPIX transaction. Please try again!","Ocorreu um erro na transação da OPENPIX. Por favor, tente novamente!"
"The payment was expired.","O pagamento expirou."
"The payment was approved.","O pagamento foi aprovado."
"Payment URL","URL para Pagamento"
"<a target='_blank' href='%s'>See on OpenPix</a>","<a target='_blank' href='%s'>Ver no OpenPix</a>"
"Paid Status","Status para Pago"
"ACTIVE","ATIVO"
"COMPLETED","COMPLETO"
"EXPIRED","EXPIRADO"

