"Payment via PagCripto - Gamuza Technologies","Pagamento via PagCripto - Gamuza Technologies"
"Crypto Currency Types","Tipos de Criptomoedas"
"Paid Status","Status para Pago"
"Manage Transactions","Gerenciar Transações"
"Transactions Manager","Gerenciador de Transações"
"Order Inc. ID","ID Inc. Pedido"
"Payment Request","Requisição de Pagamento"
"Received Amount","Valor Recebido"
"Confirmations","Confirmações"
"There was an error in the PAGCRIPTO transaction. Please try again!","Ocorreu um erro na transação da PAGCRIPTO. Por favor, tente novamente!"
"The payment was expired.","O pagamento expirou."
"The payment was approved.","O pagamento foi aprovado."
"Waiting For Payment","Aguardando Pagamento"
"Amount Ordered","Valor Comprado"

