"Manage Mesas","Gerenciar Mesas"
"Mesas Manager","Gerenciador de Mesas"
"Add New Mesa","Adicionar Nova Mesa"
"New Mesa","Nova Mesa"
"Mesa Information","Informações da Mesa"
"Save Mesa","Salvar Mesa"
"Delete Mesa","Excluir Mesa"
"Edit Mesa","Editar Mesa"
"Edit Mesa '%s'","Editar Mesa '%s'"
"Free","Livre"
"Busy","Ocupado"
"Mesa was successfully saved.","Mesa foi salva com sucesso."
"Mesa was successfully deleted.","Mesa foi excluída com sucesso."
"Mesa does not exist.","Mesa não existe."
"Manage Items","Gerenciar Itens"
"Items Manager","Gerenciador de Itens"
"Mesa ID","ID da Mesa"
"Mesa Name","Nome da Mesa"
"Order Inc. ID","ID Inc. Pedido"
"Items Qty","Qtde Itens"
"Items Total","Total Itens"
"Additional Options","Opções Adicionais"
"Super Attribute","Super Atributo"
"Bundle Option","Opção de Pacote"

