"Manage Cashiers","Gerenciar Caixas"
"Cashiers Manager","Gerenciador de Caixas"
"Opened","Aberto"
"Closed","Fechado"
"Opened At","Aberto Em"
"Closed At","Fechado Em"
"Open Amount","Valor Abertura"
"Close Amount","Valor Fechamento"
"Reinforce Amount","Valor Reforço"
"Bleed Amount","Valor Sangria"
"Money Amount","Valor Dinheiro"
"Change Amount","Valor Troco"
"Order Amount","Valor Pedido"
"Add New Cashier","Adicionar Novo Caixa"
"Save Cashier","Salvar Caixa"
"Cashier Information","Informações do Caixa"
"Edit Cashier '%s'","Editar Caixa '%s'"
"Cashier was successfully saved.","Caixa foi salvo com sucesso."
"Cashier","Caixa"
"Manage Users","Gerenciar Usuários"
"Users Manager","Gerenciador de Usuários"
"User was successfully saved.","Usuário foi salvo com sucesso."
"Manage History","Gerenciar Histórico"
"Open","Abertura"
"Reinforce","Reforço"
"Bleed","Sangria"
"Money","Dinheiro"
"Money Change","Troco"
"Close","Fechamento"
"Requested cashier ID was not specified.","ID do Caixa não foi especificado."
"Requested cashier amount was not specified.","Valor do Caixa não foi especificado."
"Requested user ID was not specified.","ID Usuário não foi especificado."
"Requested user password was not specified.","Senha Usuário não foi especificado."
"Requested cashier was not found.","Caixa não foi encontrado."
"Requested user was not found.","Usuário não foi encontrado."
"Requested cashier is already opened.","Caixa já está aberto."
"Requested cashier is already closed.","Caixa já está fechado."
"User password is invalid.","Senha do Usuário inválida."
"Cashier amount is invalid.","Valor do Caixa inválido."
"Requested customer was not specified.","Cliente solicitado não foi especificado."
"Requested customer was not found.","Cliente solicitado não foi encontrado."
"Requested customer billing address was not found.","Endereço de Cobrança do Cliente solicitado não foi especificado."
"Requested customer shipping address was not found.","Endereço de Cobrança do Cliente solicitado não foi encontrado."
"Close amount is invalid. Difference of %s.","Valor de Fechamento inválido. Diferença de %s."
"Bleed amount is invalid. Allowed only %s.","Valor da Sangria inválida. Permitido somente %s."
"Cash On Delivery","Dinheiro na Entrega"

